"AÑOS";"Balanza"
2000;2451917425
2001;7384936884
2002;17177488573
2003;16804565398
2004;13264604123
2005;13086718491,12
2006;13958349031,7101
2007;13455829210,68
2008;15422624001,0501
2009;18526021995,8499
2010;14015683347,9099
2011;12212313368,71
2012;14939645674,75
2013;4669988240,91003
2014;5404808475,32998
2015;-895636732,980087
2016;4276881275,25007
2017;-5464203011,3301
2018;-762701715,349991
2019;18105716460,2798
2020;14506782173,02
2021;18643204436,16
2022;12283173835,5402
2023;-4335410230,02996
