"AÑOS";"Balanza"
2000;-974252811,539997
2001;-822789163,470003
2002;71305709,2400014
2003;143525519,939998
2004;-12524493,4800019
2005;-245622644,590003
2006;-563107547,010003
2007;-774865575,699998
2008;-2659661138,20001
2009;-1124518699,5
2010;-1409725602,5
2011;-2254829280,29001
2012;-2316065069,08
2013;-1831089354,00999
2014;-1629169732,07
2015;-1222999885,20999
2016;-639709388,730003
2017;-22027090,3799982
2018;-802675038,349999
2019;-57687989,1300097
2020;-193285956,27
2021;47330472,2600002
2022;-835680585,020008
2023;-2370701502,90999
