,AÑOS,Balanza,Brasil_FOB,Paraguay_FOB,Uruguay_FOB
0,2000,2451917425.0,-1983192726,149705104,-974252811
1,2001,7384936884.0,1463272262,367709364,-822789163
2,2002,17177488573.0,11872392700,818559286,71305709
3,2003,16804565398.0,23469580986,812891274,143525519
4,2004,13264604123.0,31308033346,408406937,-12524493
5,2005,13086718491.0,43905616804,94535574,-245622644
6,2006,13958349031.0,45050050955,-1045428946,-563107547
7,2007,13455829210.0,37774430986,-828416213,-774865575
8,2008,15422624001.0,21057532879,-2124976687,-2659661138
9,2009,18526021995.0,22394059291,-1437027480,-1124518699
10,2010,14015683347.0,17097165067,-2876660732,-1409725602
11,2011,12212313368.0,25696548762,-3772529967,-2254829280
12,2012,14939645674.0,14786107757,-3472953747,-2316065069
13,2013,4669988240.0,-8956635076,-1845728048,-1831089354
14,2014,5404808475.0,-9899786201,-1663441645,-1629169732
15,2015,-895636732.0,13678091924,-1201819835,-1222999885
16,2016,4276881275.0,40204767637,-538447866,-639709388
17,2017,-5464203011.0,56036659812,-2347545899,-22027090
18,2018,-762701715.0,46567535473,-3391724780,-802675038
19,2019,18105716460.0,35198835582,-3787344302,-57687989
