"AÑOS";"Balanza"
2000;-10915833,64
2001;-7640072,38000003
2002;36374753,18
2003;16520338,7
2004;-44828456,51
2005;-98564041,2799999
2006;-159767163,5
2007;-332802110,6
2008;-662432229,3
2009;-534210341,7
2010;-662694121,5
2011;-817672172,799999
2012;-752021587,050001
2013;-541636171,580001
2014;-777541625,259999
2015;-600592890,58
2016;-576883036,250001
2017;-94900883,1099999
2018;-83494317,6800003
2019;384535937,029999
2020;31810836,5000005
2021;865408311,439997
2022;321780289,679998
2023;-652343294,05
