Importancia,Año,País,FOB[USD],Toneladas
Numero 1 ,2000,Japan,55784370,138537
Numero 2 ,2000,Egypt,9728045,43632
Numero 3 ,2000,Rep. of Korea,8447498,43440
Numero 4 ,2000,Belgium,865426,1500
Numero 5 ,2000,Indonesia,771472,2802
Numero 6 ,2000,France,676042,2151
Numero 7 ,2000,Philippines,669095,1988
Numero 8 ,2000,Malaysia,662902,1829
Numero 9 ,2000,"China, Hong Kong SAR",532961,1418
Numero 10,2000,USA,505285,2170
Numero 1 ,2009,Rep. of Korea,132894585,177232
Numero 2 ,2009,USA,52389536,69842
Numero 3 ,2009,Japan,44113675,51426
Numero 4 ,2009,Canada,6910308,6556
Numero 5 ,2009,Belgium,6457666,7276
Numero 6 ,2009,"Other Asia, nes",5040662,7186
Numero 7 ,2009,Germany,3677147,4537
Numero 8 ,2009,Viet Nam,3446043,5720
Numero 9 ,2009,United Kingdom,3213440,3083
Numero 10,2009,"China, Hong Kong SAR",2019466,2893
Numero 1 ,2019,Rep. of Korea,39484674,43599
Numero 2 ,2019,Japan,23599836,24490
Numero 3 ,2019,Netherlands,11408840,16107
Numero 4 ,2019,United Kingdom,8362844,5995
Numero 5 ,2019,Denmark,7504725,9905
Numero 6 ,2019,Canada,5051473,3728
Numero 7 ,2019,"Other Asia, nes",4810152,5064
Numero 8 ,2019,Belgium,4723729,3111
Numero 9 ,2019,Germany,4138237,2591
Numero 10,2019,Australia,3502854,3343
