Importancia,Año,País,FOB[USD],Toneladas
Numero 1 ,2000,Rep. of Korea,659815546,6296496
Numero 2 ,2000,Malaysia,228616631,2010331
Numero 3 ,2000,Indonesia,105676329,885221
Numero 4 ,2000,Thailand,31258243,305979
Numero 5 ,2000,Philippines,29463635,233837
Numero 6 ,2000,Egypt,25453128,206558
Numero 7 ,2000,Viet Nam,18117000,55
Numero 8 ,2000,Japan,17148890,148167
Numero 9 ,2000,Iran,14321451,103764
Numero 10,2000,Bangladesh,12309241,69077
Numero 1 ,2009,Japan,5720646,21523
Numero 2 ,2009,"Other Asia, nes",1568405,6285
Numero 3 ,2009,Rep. of Korea,481468,1318
Numero 4 ,2009,Philippines,393493,1523
Numero 5 ,2009,USA,78933,50
Numero 6 ,2009,Bangladesh,75369,92
Numero 7 ,2009,Malaysia,67018,304
Numero 8 ,2009,Mozambique,62677,61
Numero 9 ,2009,Switzerland,62339,60
Numero 10,2009,Viet Nam,49618,154
Numero 1 ,2019,Nigeria,5577883,4307
Numero 2 ,2019,Chile,4118536,981
Numero 3 ,2019,Viet Nam,3598348,679
Numero 4 ,2019,Canada,618844,4187
Numero 5 ,2019,Angola,389217,301
Numero 6 ,2019,Kyrgyzstan,215495,201
Numero 7 ,2019,Rep. of Korea,193277,31
Numero 8 ,2019,Tajikistan,167972,562
Numero 9 ,2019,"China, Hong Kong SAR",137455,6
Numero 10,2019,Australia,117353,77
