Importancia,Año,País,FOB[USD],Toneladas
Numero 1 ,2000,Indonesia,107428448,476777
Numero 2 ,2000,Cuba,57904731,212417
Numero 3 ,2000,Côte d'Ivoire,37534401,181741
Numero 4 ,2000,Rep. of Korea,37014436,132093
Numero 5 ,2000,Russian Federation,36049831,218227
Numero 6 ,2000,Japan,29251313,70687
Numero 7 ,2000,Malaysia,26934580,119361
Numero 8 ,2000,Cameroon,20624238,121002
Numero 9 ,2000,Madagascar,17662721,93507
Numero 10,2000,Viet Nam,14299000,35144
Numero 1 ,2009,Rep. of Korea,159230900,163421
Numero 2 ,2009,Japan,78283991,77436
Numero 3 ,2009,Viet Nam,39700499,43094
Numero 4 ,2009,South Africa,34633599,68237
Numero 5 ,2009,"China, Hong Kong SAR",26467915,40383
Numero 6 ,2009,Kyrgyzstan,20108900,59313
Numero 7 ,2009,Côte d'Ivoire,18181886,38526
Numero 8 ,2009,Russian Federation,17766619,42549
Numero 9 ,2009,Indonesia,13697040,5168
Numero 10,2009,Solomon Isds,8489236,5731
Numero 1 ,2019,Egypt,159689643,161301
Numero 2 ,2019,Rep. of Korea,127687107,157147
Numero 3 ,2019,Côte d'Ivoire,96397287,277372
Numero 4 ,2019,Türkiye,96318031,243639
Numero 5 ,2019,Niger,68222246,149246
Numero 6 ,2019,Papua New Guinea,51866961,86905
Numero 7 ,2019,Japan,43864201,49349
Numero 8 ,2019,Cameroon,34540739,95605
Numero 9 ,2019,Pakistan,33922675,10394
Numero 10,2019,USA,23597621,64510
