"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","50","BGD","Bangladesh","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","69077233","false","-1","N/A",,"false","69077233","false",,"false","12309241",,"12309241","0","true","false",
"C","A","20000101","2000","52","2000","51","ARM","Armenia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25","false","-1","N/A",,"false","25","false",,"false","13",,"13","0","false","false",
"C","A","20000101","2000","52","2000","124","CAN","Canada","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","true","-1","N/A",,"false","12","true",,"false",,"98223","98223","6","false","false",
"C","A","20000101","2000","52","2000","144","LKA","Sri Lanka","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39444488","false","-1","N/A",,"false","39444488","false",,"false","4462788",,"4462788","0","false","false",
"C","A","20000101","2000","52","2000","191","HRV","Croatia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","540","false","-1","N/A",,"false","540","false",,"false","405",,"405","0","false","false",
"C","A","20000101","2000","52","2000","192","CUB","Cuba","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26100715","false","-1","N/A",,"false","26100715","false",,"false","3614949",,"3614949","0","false","false",
"C","A","20000101","2000","52","2000","344","HKG","China, Hong Kong SAR","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4419","false","-1","N/A",,"false","4419","false",,"false","532223",,"532223","0","false","false",
"C","A","20000101","2000","52","2000","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","885221217","false","-1","N/A",,"false","885221217","false",,"false","105676329",,"105676329","0","false","false",
"C","A","20000101","2000","52","2000","364","IRN","Iran","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","103764498","false","-1","N/A",,"false","103764498","false",,"false","14321451",,"14321451","0","false","false",
"C","A","20000101","2000","52","2000","392","JPN","Japan","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","148167000","false","-1","N/A",,"false","148167000","false",,"false","17148890",,"17148890","0","false","false",
"C","A","20000101","2000","52","2000","410","KOR","Rep. of Korea","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6296495848","false","-1","N/A",,"false","6296495848","false",,"false","659815546",,"659815546","0","false","false",
"C","A","20000101","2000","52","2000","458","MYS","Malaysia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2010331024","false","-1","N/A",,"false","2010331024","false",,"false","228616631",,"228616631","0","false","false",
"C","A","20000101","2000","52","2000","528","NLD","Netherlands","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","894","false","-1","N/A",,"false","894","false",,"false","921",,"921","0","false","false",
"C","A","20000101","2000","52","2000","608","PHL","Philippines","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","233837227","false","-1","N/A",,"false","233837227","false",,"false","29463635",,"29463635","0","false","false",
"C","A","20000101","2000","52","2000","643","RUS","Russian Federation","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11705674","false","-1","N/A",,"false","11705674","false",,"false","1191661",,"1191661","0","false","false",
"C","A","20000101","2000","52","2000","699","IND","India","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","56118000","false","-1","N/A",,"false","56118000","false",,"false","6183415",,"6183415","0","false","false",
"C","A","20000101","2000","52","2000","702","SGP","Singapore","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13906900","false","-1","N/A",,"false","13906900","false",,"false","1604063",,"1604063","0","false","false",
"C","A","20000101","2000","52","2000","704","VNM","Viet Nam","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","18117000",,"18117000","0","false","false",
"C","A","20000101","2000","52","2000","705","SVN","Slovenia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16","false","-1","N/A",,"false","16","false",,"false","37",,"37","0","false","false",
"C","A","20000101","2000","52","2000","764","THA","Thailand","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","305979232","false","-1","N/A",,"false","305979232","false",,"false","31258243",,"31258243","0","false","false",
"C","A","20000101","2000","52","2000","768","TGO","Togo","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19000","false","-1","N/A",,"false","19000","false",,"false","2711",,"2711","0","false","false",
"C","A","20000101","2000","52","2000","784","ARE","United Arab Emirates","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14280","false","-1","N/A",,"false","14280","false",,"false","15820",,"15820","0","false","false",
"C","A","20000101","2000","52","2000","818","EGY","Egypt","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","206558230.009","true","-1","N/A","0","false","206558230.009","true","0","false","25453127.727","0","25453127.727","6","false","true",
"C","A","20000101","2000","52","2000","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4770",,"4770","0","false","false",
"C","A","20090101","2009","52","2009","12","DZA","Algeria","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","360","false","-1","N/A",,"false","360","false",,"false","88",,"88","0","true","false",
"C","A","20090101","2009","52","2009","50","BGD","Bangladesh","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92095","false","-1","N/A",,"false","92095","false",,"false","75369",,"75369","0","true","false",
"C","A","20090101","2009","52","2009","68","BOL","Bolivia (Plurinational State of)","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","201.755","true","-1","N/A","0","false","201.755","true","70","false","48","41","48","6","false","true",
"C","A","20090101","2009","52","2009","90","SLB","Solomon Isds","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","210.842","true","-1","N/A","0","false",,"true",,"false","793.493",,"793.493","0","false","true",
"C","A","20090101","2009","52","2009","120","CMR","Cameroon","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","114","false","-1","N/A",,"false","114","false",,"false","288",,"288","0","true","false",
"C","A","20090101","2009","52","2009","124","CAN","Canada","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","197000","false","-1","N/A",,"false","197000","false",,"false",,"28276","28276","0","true","false",
"C","A","20090101","2009","52","2009","132","CPV","Cabo Verde","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","150","false","-1","N/A",,"false","150","false",,"false","25",,"25","0","true","false",
"C","A","20090101","2009","52","2009","152","CHL","Chile","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80.17","false","8","kg","80.17","false","80.17","false","0","false","1293.51","88.56","1293.51","0","false","true",
"C","A","20090101","2009","52","2009","178","COG","Congo","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16","false","-1","N/A",,"false","16","false",,"false","63",,"63","0","true","false",
"C","A","20090101","2009","52","2009","188","CRI","Costa Rica","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8","false","-1","N/A",,"false","8","false",,"false","140",,"140","0","true","false",
"C","A","20090101","2009","52","2009","204","BEN","Benin","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28660","false","-1","N/A",,"false","28660","false",,"false","12149",,"12149","0","true","false",
"C","A","20090101","2009","52","2009","231","ETH","Ethiopia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","465.74","false","8","kg","465.74","false","465.74","false","0","false","893.608",,"893.608","0","false","true",
"C","A","20090101","2009","52","2009","234","FRO","Faeroe Isds","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","-1","N/A",,"false","4","false",,"false","16",,"16","0","true","false",
"C","A","20090101","2009","52","2009","251","FRA","France","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","-1","N/A",,"false","100","false",,"false","1388",,"1388","0","true","false",
"C","A","20090101","2009","52","2009","276","DEU","Germany","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","4","false","8","kg","4","false","4","false","0","false","2.787",,"2.787","0","false","true",
"C","A","20090101","2009","52","2009","288","GHA","Ghana","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50468","false","-1","N/A",,"false","50468","false",,"false","15247",,"15247","0","true","false",
"C","A","20090101","2009","52","2009","300","GRC","Greece","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37000","false","-1","N/A",,"false","37000","false",,"false","36335",,"36335","0","true","false",
"C","A","20090101","2009","52","2009","328","GUY","Guyana","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","632","false","-1","N/A",,"false","632","false",,"false","387",,"387","0","true","false",
"C","A","20090101","2009","52","2009","344","HKG","China, Hong Kong SAR","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","465","false","-1","N/A",,"false","465","false",,"false","1183",,"1183","0","true","false",
"C","A","20090101","2009","52","2009","392","JPN","Japan","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21523000","false","-1","N/A",,"false","21523000","false",,"false","5720646",,"5720646","0","true","false",
"C","A","20090101","2009","52","2009","400","JOR","Jordan","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1071","true",,"false","345",,"345","4","true","false",
"C","A","20090101","2009","52","2009","410","KOR","Rep. of Korea","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1317851","false","-1","N/A",,"false","1317851","false",,"false","481468",,"481468","0","true","false",
"C","A","20090101","2009","52","2009","450","MDG","Madagascar","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","799.06","false","8","kg","799.06","false","799.06","false","0","false","359.838","203.258","359.838","0","false","true",
"C","A","20090101","2009","52","2009","458","MYS","Malaysia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","304393","false","-1","N/A",,"false","304393","false",,"false","67018",,"67018","0","true","false",
"C","A","20090101","2009","52","2009","484","MEX","Mexico","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","52","true","-1","N/A",,"false","52","true",,"false",,"10","10","6","true","false",
"C","A","20090101","2009","52","2009","490","S19","Other Asia, nes","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6285000","false","-1","N/A",,"false","6285000","false",,"false","1568405",,"1568405","0","true","false",
