"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85272","false","-1","N/A",,"false","85272","false",,"false",,"76496","76496","0","false","false",
"C","A","20000101","2000","52","2000","40","AUT","Austria","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6800","false","-1","N/A",,"false","6800","false",,"false","3412",,"3412","0","false","false",
"C","A","20000101","2000","52","2000","56","BEL","Belgium","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1500000","false","-1","N/A",,"false","1500000","false",,"false","865426",,"865426","0","false","false",
"C","A","20000101","2000","52","2000","72","BWA","Botswana","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22","false","-1","N/A",,"false","22","false",,"false","28",,"28","0","false","false",
"C","A","20000101","2000","52","2000","100","BGR","Bulgaria","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2405","false","-1","N/A",,"false","2405","false",,"false","2883",,"2883","0","false","false",
"C","A","20000101","2000","52","2000","124","CAN","Canada","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1575172","false","-1","N/A",,"false","1575172","false",,"false",,"353400","353400","0","false","false",
"C","A","20000101","2000","52","2000","144","LKA","Sri Lanka","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","170505","false","-1","N/A",,"false","170505","false",,"false","44591",,"44591","0","false","false",
"C","A","20000101","2000","52","2000","152","CHL","Chile","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","-1","N/A",,"false","1000","false",,"false","854",,"854","0","false","false",
"C","A","20000101","2000","52","2000","191","HRV","Croatia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","367","false","-1","N/A",,"false","367","false",,"false","351",,"351","0","false","false",
"C","A","20000101","2000","52","2000","196","CYP","Cyprus","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26","false","-1","N/A",,"false","26","false",,"false","69",,"69","0","false","false",
"C","A","20000101","2000","52","2000","203","CZE","Czechia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18500","false","-1","N/A",,"false","18500","false",,"false",,"4181","4181","0","false","false",
"C","A","20000101","2000","52","2000","218","ECU","Ecuador","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1465","false","-1","N/A",,"false","1465","false",,"false","410",,"410","0","false","false",
"C","A","20000101","2000","52","2000","233","EST","Estonia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","-1","N/A",,"false","250","false",,"false","95",,"95","0","false","false",
"C","A","20000101","2000","52","2000","242","FJI","Fiji","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","400","false","-1","N/A",,"false","400","false",,"false","194",,"194","0","false","false",
"C","A","20000101","2000","52","2000","246","FIN","Finland","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60","false","-1","N/A",,"false","60","false",,"false","42",,"42","0","false","false",
"C","A","20000101","2000","52","2000","251","FRA","France","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2151200","false","-1","N/A",,"false","2151200","false",,"false","676042",,"676042","0","false","false",
"C","A","20000101","2000","52","2000","258","PYF","French Polynesia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6440","false","-1","N/A",,"false","6440","false",,"false","6659",,"6659","0","false","false",
"C","A","20000101","2000","52","2000","266","GAB","Gabon","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24","false","-1","N/A",,"false","24","false",,"false","32",,"32","0","false","false",
"C","A","20000101","2000","52","2000","276","DEU","Germany","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100800","false","-1","N/A",,"false","100800","false",,"false","54000",,"54000","0","false","false",
"C","A","20000101","2000","52","2000","288","GHA","Ghana","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","-1","N/A",,"false","40","false",,"false","15",,"15","0","true","false",
"C","A","20000101","2000","52","2000","344","HKG","China, Hong Kong SAR","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1417916","false","-1","N/A",,"false","1417916","false",,"false","532961",,"532961","0","false","false",
"C","A","20000101","2000","52","2000","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2801874","false","-1","N/A",,"false","2801874","false",,"false","771472",,"771472","0","false","false",
"C","A","20000101","2000","52","2000","372","IRL","Ireland","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16254","false","8","kg","16254","false","16254","false","0","false","4640.438","0","4640.438","0","false","true",
