Anos,Exportaciones,Importaciones,Balanza
2000,66801686908,67752597917.2801,-950911009.280067
2001,72495902269,64377215485.76,8118686783.24001
2002,78420248197,48782835435.48,29637412761.52
2003,93467082627,52458661036.77,41008421590.23
2004,116894196629,72338455174.89,44555741454.11
2005,142905059145.17,86815458431.28,56089600713.8901
2006,164277725228.49,107910370966.64,56367354261.85
2007,190962853017.73,141852141075.3,49110711942.4297
2008,235025387246.78,203384039874.68,31641347372.1003
2009,183896811087.82,146912670482.69,36984140605.13
2010,237149463928.051,211242493716.75,25906970211.3008
2011,298134823937.859,267753826273.34,30380997664.5186
2012,287576038641.34,264935455466.19,22640583175.1501
2013,277270226475.861,286007785620.89,-8737559145.02948
2014,265043256842.081,274027058043.86,-8983801201.77917
2015,224210994161.79,214809102093.68,9401892068.11008
2016,217579066047.54,175956486232.63,41622579814.9097
2017,249896699887.26,203001928468.05,46894771419.2103
2018,268773524741.3,228848480940.98,39925043800.3202
2019,268387751059.391,219622086333.67,48765664725.7205
2020,250392014111.25,186973571039.41,63418443071.8399
2021,338812343277.879,260100493578.369,78711849699.5103
2022,398119029358.54,329394531566.29,68724497792.2497
2023,216068299889.37,169433270136.66,46635029752.7098
