Ano,AreaCosechada,Produccion,Rendimiento
1961,27044821,56217596,
1962,27711295,65675296,
1963,28486885,76439287,
1964,30348646,85853775,
1965,30574546,90705628,
1966,31294469,98403988,
1967,31198309,96734821,
1968,30662955,97716770,
1969,31195067,97998501,
1970,33107861,113101872,
1971,35639661,118129217,
1972,35851803,116428568,
1973,35781152,124584102,
1974,36254906,127010746,
1975,36483983,128726268,
1976,36969180,129231908,
1977,36268342,131917523,
1978,35173502,140023847,
1979,34559686,146846141,
1980,34482478,142876522,
1981,33928110,146959846,
1982,33697392,164741383,
1983,33781824,172008870,
1984,33765103,181095752,
1985,32633684,171318871,
1986,32797566,174720521,
1987,32694296,176662482,
1988,32458538,171441919,
1989,33175855,182485246,
1990,33518971,191614680,
1991,33018802,186124638,56369
1992,32487358,188291880,57959
1993,30745927,179746933,58462
1994,30537237,177994395,58288
1995,31107479,187297968,60210
1996,31753892,197032897,62050
1997,32129200,202771843.07,63111
1998,31571500,200571557.05,63529
1999,31637100,200403308.04,63344
2000,30301490,189814060.03,62642
2001,29144019,179304887.03,61524
2002,28508800,176342195.03,61855
2003,26780124,162304280.03,60606
2004,28615715,180522603.03,63085
2005,29116400,182055138.03,62527
2006,29201080,183276048,62763
2007,29179116,187397460.03,64223
2008,29493392,193352875.04,65558
2009,29881590,196681177.05,65820
2010,30117262,197212003.05,65481
2011,30311295,202667169.05,66862
2012,30397873,205936129.05,67747
2013,30581915,205201696.05,67099
2014,30580921,208239610.05,68095
2015,31035861,213723732.05,68863
2016,31019837,212681776.05,68563
2017,31021867,214429949.05,69122
2018,30460956,214078796.05,70280
2019,29960066,211405211.05,70562
