Ano,AreaCosechada,Produccion,Rendimiento
1961,15215000,18027091,
1962,12818000,16286265,
1963,15379210,20614528,
1964,15368015,22732100,
1965,15673615,23691079,
1966,17024011,29181639,
1967,16021386,31014082,
1968,16022641,29121485,
1969,16019040,28464781,
1970,15838000,33087416,
1971,16731276,35906819,
1972,16711746,32170532,
1973,16584528,38714175,
1974,17431837,43027098,
1975,18628725,47357880,
1976,19250421,48264215,
1977,19674052,49495001,
1978,19997980,56057169,
1979,20146325,60138515,
1980,20372005,62715141,
1981,19440258,59306226,
1982,18564118,60678419,
1983,18867740,68405449,
1984,18589201,73650192,
1985,17755636,64102307,
1986,19198886,71177305,
1987,20290803,79601782,
1988,19773891,77723756,
1989,20433871,79310405,
1990,21482665,97213883,
1991,21648530,99147826,45799
1992,21119959,95772877,45347
1993,20770936,103109999,49641
1994,21229239,99674118,46951
1995,22848467,112361571,49177
1996,24571227,127865412,52039
1997,23836937,104647617,43901
1998,25281404,133197612,52686
1999,25938564,128287195,49458
2000,23086228,106178315,45992
2001,24310506,114255995,46999
2002,24660837,120188915,48737
2003,24092820,115997909,48146
2004,25467145,130434297,51217
2005,26379450,139498473,52881
2006,28482649,151731441,53272
2007,29496901,152418870,51673
2008,29882708,166032097,55561
2009,31203367,164107560,52593
2010,32517988,177540788,54598
2011,33559864,192904232,57481
2012,35046465,205719284,58699
2013,36339411,218621905,60161
2014,37150395,215812100,58091
2015,44995748,265157307,58929
2016,44208341,263777750,59667
2017,42429378,259256299,61103
2018,42158995,257348659,61042
2019,41309740,260957662,63171
