Ano,AreaCosechada,Produccion,Rendimiento
1961,10006582,6263900,
1962,9548938,6563011,
1963,9678923,6962645,
1964,10049620,7927616,
1965,8637176,6205709,
1966,8468326,8333271,
1967,8546302,8345226,
1968,8403461,8112995,
1969,8365277,7697111,
1970,8019749,8775174,
1971,7824151,8670990,
1972,7612123,6510221,
1973,7436491,8430596,
1974,7298454,7536918,
1975,7033446,7301920,
1976,6719549,6692998,
1977,6868117,7311718,
1978,7168473,7610824,
1979,7258333,7491782,
1980,7234329,7965934,
1981,8025312,9340883,
1982,8417782,9042043,
1983,7565192,9768592,
1984,7291535,9704545,
1985,7725111,10512210,
1986,8305277,11628890,
1987,8453945,12202043,
1988,8127699,11659641,
1989,8063021,10238956,
1990,7563788,11008140,
1991,7045042,9721333,13799
1992,7224840,10312562,14274
1993,9459499,15319715,16195
1994,9227491,16011005,17351
1995,8130544,13510894,16617
1996,7475594,13233693,17703
1997,8348163,14736222,17652
1998,8500855,15153263,17826
1999,7962173,14245652,17892
2000,9306733,15409295,16557
2001,9481868,15405928,16248
2002,8719719,16505768,18929
2003,9313065,15393541,16529
2004,9588885,17401780,18148
2005,9590850,16348013,17045
2006,9304505,15081987,16209
2007,8753908,12725147,14537
2008,9127184,15541741,17028
2009,9189913,14981721,16302
2010,8515865,15083504,17712
2011,7888595,14485405,18362
2012,7171140,13011059,18144
2013,6790969,11951879,17600
2014,6800568,12155173,17874
2015,6507748,11787725,18113
2016,7094841,12791955,18030
2017,8247992,15287174,18534
2018,8415791,15971504,18978
2019,9303405,18104776,19460
