Ano;ARG;BRA;URY
2000;531219224;337350321;
2001;827964636;537663759;
2002;505193370;823446123;
2003;1226877530;1313073236;
2004;1153431840;1621735722;
2005;1727087815;1710492943;6237456
2006;1422095979;2428650146;16956414
2007;2662545698;2831860767;12559915
2008;3609035187;5324052177;33191541
2009;1200578924;6342964920;50869502
2010;4117582272;7133440544;143642845
2011;4189957118;10951902030;225010991
2012;2722577021;12028317833;457896219
2013;3216109132;17147972473;647342766
2014;3,04E+11;16615159624;514671640
2015;3540256716;15787785730;282250041
2016;27925492768;14386114595;149364652
2017;2,41E+11;20310207678;495400792
2018;1,31E+11;27233070721;210254206
2019;30127375602;20452339452;321008724
